month,wtr
2000-01,52.5939237403759
2000-02,52.9123292397913
2000-03,53.0616154105722
2000-04,53.8065392096424
2000-05,55.6259031221879
2000-06,54.7344448320304
2000-07,55.5412231197054
2000-08,56.4517321887495
2000-09,56.7525844343456
2000-10,57.4869514363207
2000-11,57.573770012811
2000-12,58.3739052662296
2001-01,57.619712161681
2001-02,57.0940593222093
2001-03,56.7527542298924
2001-04,56.1347688026374
2001-05,55.6291565595542
2001-06,55.4747857513672
2001-07,55.1598864488359
2001-08,54.9911014811912
2001-09,54.4070494537932
2001-10,54.8184384846749
2001-11,54.7512161638793
2001-12,53.9726727321388
2002-01,54.6695084739339
2002-02,55.5345301952817
2002-03,55.7734161818005
2002-04,56.6303040630067
2002-05,56.2316797534475
2002-06,57.4437859086703
2002-07,57.4427020786416
2002-08,57.6333007172001
2002-09,58.2317297440573
2002-10,58.4581002622572
2002-11,59.1777568571785
2002-12,58.089809917511
2003-01,59.2748947254306
2003-02,58.88340805825
2003-03,59.512093279635
2003-04,59.3027017875245
2003-05,59.227891371219
2003-06,59.0793552829387
2003-07,59.6945488861116
2003-08,58.9786816360582
2003-09,60.7451253270513
2003-10,61.5888938897975
2003-11,62.2903090292763
2003-12,63.3203438758403
2004-01,62.4260538182596
2004-02,63.6644636129828
2004-03,64.182910524045
2004-04,65.3471948149764
2004-05,65.7231397238596
2004-06,66.3702768981921
2004-07,66.1877585308196
2004-08,65.8386839717959
2004-09,66.5257745297613
2004-10,67.2805272406178
2004-11,68.0667386036157
2004-12,68.8237153968142
2005-01,68.4708690319748
2005-02,67.8378296456624
2005-03,68.3207130091429
2005-04,70.0346572248751
2005-05,70.0204652514557
2005-06,70.4139469542777
2005-07,70.1267023293581
2005-08,70.8631353277214
2005-09,71.5739832082974
2005-10,72.3294084622256
2005-11,72.7855484213984
2005-12,74.6677886168576
2006-01,74.346865364128
2006-02,74.7905510229376
2006-03,75.7627444172786
2006-04,76.1212855418839
2006-05,76.1328879191439
2006-06,77.0630285320572
2006-07,76.0334592159332
2006-08,77.0252267425353
2006-09,78.3345336199987
2006-10,78.4071596776318
2006-11,79.0019504194072
2006-12,79.9027308031373
2007-01,79.2427569055613
2007-02,79.761356743135
2007-03,79.1847329132848
2007-04,79.6069427431677
2007-05,80.0334772863893
2007-06,80.4901004273858
2007-07,80.3100371004258
2007-08,81.3054071551447
2007-09,81.4204489612173
2007-10,81.7348202915868
2007-11,82.1920593428073
2007-12,82.4313882788678
2008-01,84.6329163111418
2008-02,84.4918428973822
2008-03,83.7406142119212
2008-04,84.993146313515
