month,wtr
2000-01,52.6668942266756
2000-02,52.9785123123742
2000-03,53.1364936016
2000-04,53.8734437530298
2000-05,55.7026787201541
2000-06,54.8274865536271
2000-07,55.6103279334102
2000-08,56.5396505875748
2000-09,56.845978803695
2000-10,57.5714830620789
2000-11,57.6628141292214
2000-12,58.4732926031664
2001-01,57.714698279078
2001-02,57.1803969770937
2001-03,56.8444521831672
2001-04,56.2259526172854
2001-05,55.7353455043162
2001-06,55.5802219995872
2001-07,55.2629299720774
2001-08,55.0807060698227
2001-09,54.508986992162
2001-10,54.9255628273461
2001-11,54.8674672162244
2001-12,54.0716360483884
2002-01,54.7573158874883
2002-02,55.6436205319043
2002-03,55.8654547139039
2002-04,56.7297273795496
2002-05,56.3262846167665
2002-06,57.5227472955536
2002-07,57.5434693204376
2002-08,57.7256484319263
2002-09,58.3336469349064
2002-10,58.549312098247
2002-11,59.2676158814189
2002-12,58.1811332522761
2003-01,59.3775735237947
2003-02,58.9827940328083
2003-03,59.6030783273318
2003-04,59.3907797834319
2003-05,59.3092488440271
2003-06,59.176626540457
2003-07,59.7766303129604
2003-08,59.0748484852835
2003-09,60.8514386429606
2003-10,61.6969764631874
2003-11,62.3967380144747
2003-12,63.438907253398
2004-01,62.5407871014174
2004-02,63.7834100604455
2004-03,64.3127665152795
2004-04,65.4766615360628
2004-05,65.8474359215444
2004-06,66.4994029048619
2004-07,66.3278951304222
2004-08,65.9596483960682
2004-09,66.6691386921226
2004-10,67.4098503789271
2004-11,68.2181050885223
2004-12,68.9779768378185
2005-01,68.6143158628651
2005-02,67.9821870957952
2005-03,68.4863892324818
2005-04,70.1892910636678
2005-05,70.1873557007947
2005-06,70.5822117740956
2005-07,70.2995489377157
2005-08,71.0441430386947
2005-09,71.7696242667091
2005-10,72.4951758471732
2005-11,72.9610191502282
2005-12,74.8548842827572
2006-01,74.5217959946891
2006-02,74.9729930116308
2006-03,75.939449296189
2006-04,76.2891865042485
2006-05,76.29705751748
2006-06,77.2360756353165
2006-07,76.1792424468628
2006-08,77.179101228237
2006-09,78.5033500848139
2006-10,78.5862639811199
2006-11,79.1734062305153
2006-12,80.1369807789374
2007-01,79.4333735058978
2007-02,79.9604902634643
2007-03,79.3589447568835
2007-04,79.7947637063913
2007-05,80.2033147317366
2007-06,80.6578712071385
2007-07,80.4790018236974
2007-08,81.4916298937462
2007-09,81.6068684207524
2007-10,81.9316320395253
2007-11,82.402784573902
2007-12,82.6984914518943
2008-01,84.9077627860727
2008-02,84.7766696517883
2008-03,84.0207496141976
2008-04,85.3128515447158
2008-05,85.0565753818418
2008-06,84.5961493445709
2008-07,85.3415123052878
2008-08,84.9170879668048
2008-09,83.9879176632598
2008-10,83.1096021280029
2008-11,77.5425236724965
2008-12,73.3709044100201
2009-01,69.1356574718256
2009-02,68.4686697158515
2009-03,68.0957318752004
2009-04,68.4373584420892
2009-05,68.0926820712807
2009-06,69.3715417573324
2009-07,70.9705653056014
